,date,user_id,text,like,tag,pp_text,like_point
1598,2020-04-07T03:15:20.000Z,emilycafeworld,#seaweedcrisps #seapointfarms #vegan #glutenfree #nongmoproject #ovenbaked #김스낵 #씨위드크리스피 #아몬드 #비건 #글루텐프리 #집에서먹자 #집에서놀기 #건강식품 #좋은먹거리,13,#seaweedcrisps #seapointfarms #vegan #glutenfree #nongmoproject #ovenbaked,seaweedcrispsseapointfarmsveganglutenfreenongmoprojectovenbaked,13
1599,2017-01-26T19:04:13.000Z,itssarahfit,Yummmm! #seaweedcrisps,12,#seaweedcrisps,Yummmm seaweedcrisps,12
1600,2015-09-22T22:35:49.000Z,nathanleejames,"Also got these Annie Chun's Seaweed Crisps, gochujang flavored. I don't know about this, ha. #seaweed #food #foodie #foodporn #snacks #seaweedcrisps #igers #iphonesia #instagood #instamood #picoftheday #photooftheday",20,#seaweed #food #foodie #foodporn #snacks #seaweedcrisps #igers #iphonesia #instagood #instamood #picoftheday #photooftheday,Also got these Annie Chun s Seaweed Crispsgochujang flavoredI don t know about thisha seaweedfoodfoodiefoodpornsnacksseaweedcrispsigersiphonesiainstagoodinstamoodpicofthedayphotooftheday,20
1601,2015-09-22T22:35:49.000Z,mytoyaccount,Looks good. Tell me how it is.,255주답글 달기,,Looks goodTell me how it is,0
1602,2015-09-22T22:35:49.000Z,ashleybrookejames,I wanna try! Used to eat seaweed as a kid.,255주답글 달기,,I wanna tryUsed to eat seaweed as a kid,0
1603,2015-09-22T22:35:49.000Z,nathanleejames,@toys2money Ack! I do not like seaweed snacks!!,254주답글 달기,,toys2money AckI do not like seaweed snacks,0
1604,2015-09-22T22:35:49.000Z,mytoyaccount,Hahaha some people like it and some people don't,254주답글 달기,,Hahaha some people like it and some people don t,0
1605,2015-02-27T14:17:05.000Z,sakilabdulkhalid,SEAWEED CRISPs...Jom esok ramai ramai g serbu @ministryofshopaholic ....Bagi yang tak tau nak kudap2 di waktu petang2 ke...lepak2 ngan kengkawan ke...boleh la makan seaweed crisps nih...so kawan2 yang kat #putrajaya #presint15 #presint14 #bangi #kajang #uniten dan seangkatan dan sehampiran dengan nya...boleh serbu @ministryofshopaholic ye...esok dah last day di bulan februari...nak buat buah tangan untuk kengkawan pun boleh seaweed crisps nih...lain dari yang lain...datang ye jangan tak datang...macam2 ada kat situ...#sayajualmurah#sayajualonline#makanpetang#partime#bazarpaknil#bazaronline#onlineshop#kudapkudap#upm#ukm#cyberjaya#seaweedcrisps,17,#putrajaya #presint15 #presint14 #bangi #kajang #uniten,SEAWEED CRISPs Jom esok ramai ramai g serbuministryofshopaholic Bagi yang tak tau nak kudap2 di waktu petang2 ke lepak2 ngan kengkawan ke boleh la makan seaweed crisps nih so kawan2 yang katputrajayapresint15presint14bangikajanguniten dan seangkatan dan sehampiran dengan nya boleh serbuministryofshopaholic ye esok dah last day di bulan februari nak buat buah tangan untuk kengkawan pun boleh seaweed crisps nih lain dari yang lain datang ye jangan tak datang macam2 ada kat situsayajualmurah sayajualonline makanpetang partime bazarpaknil bazaronline onlineshop kudapkudap upm ukm cyberjaya seaweedcrisps,17
1606,2015-02-27T14:17:05.000Z,kayra.fdwhite,Nice pic!,284주답글 달기,,Nice pic,0
1607,2015-02-27T14:17:05.000Z,fashionvallyn,Like it!,284주답글 달기,,Like it,0
