date,user_id,pp_text,tag,like_point
2014-10-28T19:12:22.000Z,fabcevolution,Can t wait to taste all the different flavors ofoceanshalo seaweed chips atGoGreenFashionistaNYC 11 9 2014It ll go perfect with our sponsorZicoCoconutWater Enough for all our guestsstaying healthy and fit is a part of being aGoGreenFashionista MORE INFO TICKETSwww gogreenfashionistaNYC eventbrite comREPOSTNYCMassiveNYCpeopleHealthyNYCNYCfitOceansHaloSeaweedChipsNewYorkNewYorkFashionLoveNYCNewYorkCityFashionableNYCEthicalFashionEcoWorldGoGreenNYC,#GoGreenFashionistaNYC #ZicoCoconutWater #GoGreenFashionista #REPOST #NYCMassive #NYCpeople #HealthyNYC #NYCfit #OceansHalo #SeaweedChips #NewYork #NewYorkFashion #LoveNYC #NewYorkCity #FashionableNYC #EthicalFashion #EcoWorld #GoGreenNYC,26
2014-08-17T01:48:40.000Z,nourish_to_health,I made Nori crisps and they are divineAnotherexperiment as I was craving salting crispy foodsThe kids love them and it s a great way to get seaweed into your diet or to use to top salads with for crunch 1 sheet of Nori Seaweed contains the same amount of omega 3 fatty acids as two avocadosThis type of fat helps to raise healthy HDL cholesterol levelswhile lowering harmful LDL cholesterol levelsOmega 3 fatty acids also help reduce inflammation in the bodyIts high in natural Iodine so you can throw away that chemical table salt It aids digestion and seaweed is loaded with more calcium than broccoli and is almost as rich in proteins as legumesOther nutrients in seaweed include vitamin B 12 and vitamin A so great forvegans I cut up 2 sheets into little squares and put them in a mixing bowlI added 1 teaspoon of melted coconut oil and salt and pepper to tasteI then sprinkled about 1 teaspoon of water over them so they just soften and get coated by the seasoning but do not go soggyI placed them in the dehydrator for 2 hrs on low but you could do it in the oven on low and watch them like kale chipsThey are crispy salty and moorish so I will make them again and try other flavours like garlic powder and dried chilli or lemon juice instead of the water and white pepper If you have better will power than me you could store them in an air tight jar seaweedcrispsrawvegansnacksnoriiodinefatscalciumproteinomega3fattyacidsguthealthhealingfoodsgapsdietpaleohealthykidssnacks,#experiment #vegans #seaweedcrisps #raw #vegan #snacks #nori #iodine #fats #calcium #protein #omega3fattyacids #guthealth #healingfoods #gapsdiet #paleo #healthykidssnacks,26
2014-05-19T01:17:00.000Z,oceanshalo,2 time Top Chef Carla Hall accessorizes our Chili Limeseaweedchips atcfsmbatopchefthechew,#seaweedchips #cfsmba #topchef #thechew,26
2014-08-17T15:14:59.000Z,kimihyuny,seoulgyeongbokgungBugak,#seoul #gyeongbokgung #Bugak,25
2014-06-30T10:46:48.000Z,grumpybuttinsky,A close up ofjiapears freshly bakedseaweedchips and chocolatechunkcookiesmmmmmami,#seaweedchips #cookies #mmmmmami,25
2014-06-19T15:45:50.000Z,tessparemayer,tbt thai new year mid water fight snackseaweedchipslobsterchipslaysfordaysthailand,#tbt #seaweedchips #lobsterchips #laysfordays #thailand,25
2014-04-21T20:28:37.000Z,cjnutrition,Seaweed snacks cjnutritionseaweedsnack,#cjnutrition #seaweedsnack,25
2014-03-31T04:38:45.000Z,mbruyns,Gotta love Sundaze with the boosmokerscornermunchiesswedyyc403420hossbongblackwidowbolaochoseaweedchipspandapockyhichewbamboo,#smokerscorner #munchies #swed #yyc #403 #420 #hossbong #blackwidow #bolaocho #seaweedchips #pandapocky #hichew #bamboo,25
2014-03-28T00:17:17.000Z,tommymachinegun,Yum yum in the tum tum roastedeelbanhmiVietnamesesandwichseaweedsnackhotandspicyBaLeSandwichShopOaklandInternationalBlvdpescatarian,#roastedeel #banhmi #Vietnamese #sandwich #seaweedsnack #hotandspicy #BaLeSandwichShop #Oakland #InternationalBlvd #pescatarian,25
2014-03-19T19:31:33.000Z,proudchapina,Found these at the 99storeI m trying to find different things to snack on that are healthySeaweedspicyseaweedsnackseaweedsnackdriedroastedseaweedsnackhealthysnack,#Seaweed #spicyseaweedsnack #seaweedsnack #driedroastedseaweed #snack #healthysnack,25
